device_id;room_name;location
263a8264-19a8-438c-924b-3df58c80f996;Meeting room 1;Office 1
b9610647-e7ff-47bf-a19c-d8d295108592;Meeting room 3;Office 1
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;Meeting room 2;Office 1
74b897b3-2aa9-47c8-ad95-6c627f225457;4212 Open Area Table 5;Helvar
4fee747f-7416-436a-81f8-882e6f67a44c;4212 Open Area Table 6;Helvar
bb97c996-647e-4d0d-9a6e-7a943ddf0d89;4212 Open Area Table 7;Helvar
388e2470-6ba4-4b53-be4b-d7078b0460b1;4212 Open Area Table 8;Helvar
9e9d1e17-fe51-427f-9888-54d865bc4a69;4212 Open Area Table 9;Helvar
aea07df5-8b41-4fc1-89a5-612bd4b98434;Open Table 1;Office 2
abbbbda4-cda8-4816-9eda-44f834e9536d;Open Table 2;Office 2
505144a3-6c08-4731-ad5f-bb0c08c77344;Open Table 3;Office 2
