device_id;timestamp;occupied;occupancy_minutes;movements_count;temperature;humidity;co2
263a8264-19a8-438c-924b-3df58c80f996;2018-11-12T06:00:00Z;0;13;361;22.31;38.34;666
263a8264-19a8-438c-924b-3df58c80f996;2018-11-12T07:00:00Z;0;5;77;22.31;37.85;803
263a8264-19a8-438c-924b-3df58c80f996;2018-11-12T08:00:00Z;1;51;2735;22.47;39.32;741
263a8264-19a8-438c-924b-3df58c80f996;2018-11-12T09:00:00Z;0;2;693;22.36;38.85;891
263a8264-19a8-438c-924b-3df58c80f996;2018-11-12T10:00:00Z;1;55;2588;22.73;40.14;979
263a8264-19a8-438c-924b-3df58c80f996;2018-11-12T11:00:00Z;1;58;2768;22.8;40.33;810
263a8264-19a8-438c-924b-3df58c80f996;2018-11-12T12:00:00Z;1;50;3165;22.99;41.69;942
263a8264-19a8-438c-924b-3df58c80f996;2018-11-12T13:00:00Z;0;4;447;22.82;40.29;822
263a8264-19a8-438c-924b-3df58c80f996;2018-11-12T14:00:00Z;0.5;40;1399;22.64;39.61;808
263a8264-19a8-438c-924b-3df58c80f996;2018-11-13T06:00:00Z;0.5;22;1253;22.49;39.09;809
263a8264-19a8-438c-924b-3df58c80f996;2018-11-13T07:00:00Z;1;51;2239;22.78;40.04;920
263a8264-19a8-438c-924b-3df58c80f996;2018-11-13T08:00:00Z;1;58;2015;22.91;40.82;902
263a8264-19a8-438c-924b-3df58c80f996;2018-11-13T09:00:00Z;1;57;2089;22.93;41.63;951
263a8264-19a8-438c-924b-3df58c80f996;2018-11-13T10:00:00Z;0;8;896;22.88;40.58;854
263a8264-19a8-438c-924b-3df58c80f996;2018-11-13T11:00:00Z;1;58;3860;22.88;40.46;857
263a8264-19a8-438c-924b-3df58c80f996;2018-11-13T12:00:00Z;1;59;2263;22.89;40.85;983
263a8264-19a8-438c-924b-3df58c80f996;2018-11-13T13:00:00Z;0.5;23;1441;22.98;40.89;936
263a8264-19a8-438c-924b-3df58c80f996;2018-11-13T14:00:00Z;0.5;21;2000;22.63;39.88;968
263a8264-19a8-438c-924b-3df58c80f996;2018-11-14T06:00:00Z;0;4;457;22.11;37.65;753
263a8264-19a8-438c-924b-3df58c80f996;2018-11-14T07:00:00Z;0;8;802;22.17;37.6;744
263a8264-19a8-438c-924b-3df58c80f996;2018-11-14T08:00:00Z;1;59;3164;22.57;39.35;894
263a8264-19a8-438c-924b-3df58c80f996;2018-11-14T09:00:00Z;1;52;3275;22.74;40.47;831
263a8264-19a8-438c-924b-3df58c80f996;2018-11-14T10:00:00Z;1;57;2193;22.93;42.05;995
263a8264-19a8-438c-924b-3df58c80f996;2018-11-14T11:00:00Z;1;59;2819;23.01;42.01;1067
263a8264-19a8-438c-924b-3df58c80f996;2018-11-14T12:00:00Z;1;53;3002;23.02;41.97;998
263a8264-19a8-438c-924b-3df58c80f996;2018-11-14T13:00:00Z;1;52;2870;23.06;41.84;875
263a8264-19a8-438c-924b-3df58c80f996;2018-11-14T14:00:00Z;0.5;31;1973;22.92;41.18;957
263a8264-19a8-438c-924b-3df58c80f996;2018-11-15T06:00:00Z;0.5;36;1102;22.73;40.1;941
263a8264-19a8-438c-924b-3df58c80f996;2018-11-15T07:00:00Z;1;52;3355;22.83;40.83;822
263a8264-19a8-438c-924b-3df58c80f996;2018-11-15T08:00:00Z;1;52;3907;22.88;41.07;910
263a8264-19a8-438c-924b-3df58c80f996;2018-11-15T09:00:00Z;0;10;357;22.64;40.37;804
263a8264-19a8-438c-924b-3df58c80f996;2018-11-15T10:00:00Z;0;15;317;22.63;39.14;760
263a8264-19a8-438c-924b-3df58c80f996;2018-11-15T11:00:00Z;1;50;3880;22.58;39.34;754
263a8264-19a8-438c-924b-3df58c80f996;2018-11-15T12:00:00Z;1;60;3288;22.79;40.57;994
263a8264-19a8-438c-924b-3df58c80f996;2018-11-15T13:00:00Z;0.5;30;1662;22.92;41.19;866
263a8264-19a8-438c-924b-3df58c80f996;2018-11-15T14:00:00Z;0;13;104;22.67;40.26;949
263a8264-19a8-438c-924b-3df58c80f996;2018-11-16T06:00:00Z;1;55;3129;23.01;41.7;950
263a8264-19a8-438c-924b-3df58c80f996;2018-11-16T07:00:00Z;1;55;2026;23.07;41.94;1058
263a8264-19a8-438c-924b-3df58c80f996;2018-11-16T08:00:00Z;1;58;3844;23.11;41.75;984
263a8264-19a8-438c-924b-3df58c80f996;2018-11-16T09:00:00Z;0;9;959;22.69;40.71;913
263a8264-19a8-438c-924b-3df58c80f996;2018-11-16T10:00:00Z;0;0;45;22.57;39.14;837
263a8264-19a8-438c-924b-3df58c80f996;2018-11-16T11:00:00Z;0.5;39;1728;22.35;38.71;837
263a8264-19a8-438c-924b-3df58c80f996;2018-11-16T12:00:00Z;0.5;28;1199;22.43;39.1;733
263a8264-19a8-438c-924b-3df58c80f996;2018-11-16T13:00:00Z;1;52;3744;22.71;40.53;929
263a8264-19a8-438c-924b-3df58c80f996;2018-11-16T14:00:00Z;1;55;2407;22.88;40.89;861
263a8264-19a8-438c-924b-3df58c80f996;2018-11-19T06:00:00Z;1;54;2880;22.92;41.76;1044
263a8264-19a8-438c-924b-3df58c80f996;2018-11-19T07:00:00Z;1;57;3250;23.09;41.91;937
263a8264-19a8-438c-924b-3df58c80f996;2018-11-19T08:00:00Z;1;59;2273;23.14;42.1;948
263a8264-19a8-438c-924b-3df58c80f996;2018-11-19T09:00:00Z;0;2;402;22.77;40.46;862
263a8264-19a8-438c-924b-3df58c80f996;2018-11-19T10:00:00Z;0.5;36;1193;22.6;39.95;859
263a8264-19a8-438c-924b-3df58c80f996;2018-11-19T11:00:00Z;0.5;31;1175;22.5;39.04;890
263a8264-19a8-438c-924b-3df58c80f996;2018-11-19T12:00:00Z;1;50;3078;22.83;40.53;981
263a8264-19a8-438c-924b-3df58c80f996;2018-11-19T13:00:00Z;0.5;35;1513;22.84;40.42;978
263a8264-19a8-438c-924b-3df58c80f996;2018-11-19T14:00:00Z;1;58;3926;22.98;41.15;899
263a8264-19a8-438c-924b-3df58c80f996;2018-11-20T06:00:00Z;0;1;340;22.22;37.34;643
263a8264-19a8-438c-924b-3df58c80f996;2018-11-20T07:00:00Z;0;15;339;22.19;37.95;717
263a8264-19a8-438c-924b-3df58c80f996;2018-11-20T08:00:00Z;0.5;39;1701;22.36;38.93;811
263a8264-19a8-438c-924b-3df58c80f996;2018-11-20T09:00:00Z;1;50;3000;22.7;40.03;884
263a8264-19a8-438c-924b-3df58c80f996;2018-11-20T10:00:00Z;0.5;28;1510;22.65;40.49;856
263a8264-19a8-438c-924b-3df58c80f996;2018-11-20T11:00:00Z;1;55;2185;22.75;41.07;868
263a8264-19a8-438c-924b-3df58c80f996;2018-11-20T12:00:00Z;1;60;2978;22.96;40.99;967
263a8264-19a8-438c-924b-3df58c80f996;2018-11-20T13:00:00Z;1;52;2316;23.01;41.96;893
263a8264-19a8-438c-924b-3df58c80f996;2018-11-20T14:00:00Z;0;9;535;22.7;40.74;807
263a8264-19a8-438c-924b-3df58c80f996;2018-11-21T06:00:00Z;0;8;441;22.24;38.03;753
263a8264-19a8-438c-924b-3df58c80f996;2018-11-21T07:00:00Z;0;13;709;22.37;38.24;844
263a8264-19a8-438c-924b-3df58c80f996;2018-11-21T08:00:00Z;0;14;841;22.35;38.35;699
263a8264-19a8-438c-924b-3df58c80f996;2018-11-21T09:00:00Z;1;57;2099;22.5;39.67;921
263a8264-19a8-438c-924b-3df58c80f996;2018-11-21T10:00:00Z;1;52;3342;22.74;40.54;884
263a8264-19a8-438c-924b-3df58c80f996;2018-11-21T11:00:00Z;0.5;31;1659;22.78;41.21;847
263a8264-19a8-438c-924b-3df58c80f996;2018-11-21T12:00:00Z;0.5;35;1636;22.73;40.6;918
263a8264-19a8-438c-924b-3df58c80f996;2018-11-21T13:00:00Z;1;54;2333;22.86;40.45;868
263a8264-19a8-438c-924b-3df58c80f996;2018-11-21T14:00:00Z;1;52;3715;22.82;41.04;1019
263a8264-19a8-438c-924b-3df58c80f996;2018-11-22T06:00:00Z;0;13;629;22.34;38.34;838
263a8264-19a8-438c-924b-3df58c80f996;2018-11-22T07:00:00Z;0;12;339;22.22;38.38;837
263a8264-19a8-438c-924b-3df58c80f996;2018-11-22T08:00:00Z;1;59;3016;22.55;39.57;940
263a8264-19a8-438c-924b-3df58c80f996;2018-11-22T09:00:00Z;1;57;2168;22.75;40.86;889
263a8264-19a8-438c-924b-3df58c80f996;2018-11-22T10:00:00Z;0.5;23;1556;22.86;41.22;913
263a8264-19a8-438c-924b-3df58c80f996;2018-11-22T11:00:00Z;0;11;601;22.66;39.67;870
263a8264-19a8-438c-924b-3df58c80f996;2018-11-22T12:00:00Z;0;11;603;22.45;38.65;725
263a8264-19a8-438c-924b-3df58c80f996;2018-11-22T13:00:00Z;1;53;3065;22.46;39.28;910
263a8264-19a8-438c-924b-3df58c80f996;2018-11-22T14:00:00Z;1;52;3922;22.74;40.54;812
263a8264-19a8-438c-924b-3df58c80f996;2018-11-23T06:00:00Z;0.5;32;1229;22.61;39.69;813
263a8264-19a8-438c-924b-3df58c80f996;2018-11-23T07:00:00Z;1;56;2023;22.85;41.05;913
263a8264-19a8-438c-924b-3df58c80f996;2018-11-23T08:00:00Z;1;58;3648;22.93;41.14;995
263a8264-19a8-438c-924b-3df58c80f996;2018-11-23T09:00:00Z;0;1;651;22.68;40.55;974
263a8264-19a8-438c-924b-3df58c80f996;2018-11-23T10:00:00Z;0.5;39;1806;22.58;40.06;803
263a8264-19a8-438c-924b-3df58c80f996;2018-11-23T11:00:00Z;0.5;40;1226;22.49;39.54;875
263a8264-19a8-438c-924b-3df58c80f996;2018-11-23T12:00:00Z;1;50;3162;22.83;40.66;876
263a8264-19a8-438c-924b-3df58c80f996;2018-11-23T13:00:00Z;1;59;3304;23.02;41.4;881
263a8264-19a8-438c-924b-3df58c80f996;2018-11-23T14:00:00Z;0;5;621;22.74;40.53;898
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-12T06:00:00Z;0;1;913;22.14;37.36;733
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-12T07:00:00Z;0.5;24;1193;22.37;38.26;720
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-12T08:00:00Z;0;5;398;22.19;38.01;656
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-12T09:00:00Z;0.5;34;1503;22.47;38.95;856
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-12T10:00:00Z;0.5;25;1386;22.36;39;779
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-12T11:00:00Z;1;58;3164;22.69;40.29;829
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-12T12:00:00Z;1;58;3608;22.83;41.24;1014
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-12T13:00:00Z;0;0;120;22.67;40.26;817
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-12T14:00:00Z;1;58;3493;22.76;40.36;845
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-13T06:00:00Z;0;6;347;22.3;37.84;775
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-13T07:00:00Z;0.5;33;1907;22.34;38.81;838
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-13T08:00:00Z;1;58;3439;22.72;39.99;949
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-13T09:00:00Z;0.5;33;1573;22.77;40.7;969
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-13T10:00:00Z;1;60;2088;23.01;41.33;987
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-13T11:00:00Z;0;0;530;22.52;39.7;939
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-13T12:00:00Z;0.5;29;1083;22.55;39.79;856
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-13T13:00:00Z;1;52;2337;22.65;39.31;751
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-13T14:00:00Z;0.5;28;1898;22.79;40.19;965
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-14T06:00:00Z;1;54;2655;23.01;41.72;880
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-14T07:00:00Z;1;60;2959;23.06;41.95;950
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-14T08:00:00Z;0;10;883;22.86;40.46;820
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-14T09:00:00Z;0;6;650;22.62;39.37;831
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-14T10:00:00Z;0.5;25;1296;22.33;38.46;724
