time;outside_temperature
2018-10-15T00:00:00Z;11.7
2018-10-15T01:00:00Z;11.3
2018-10-15T02:00:00Z;11.7
2018-10-15T03:00:00Z;11.6
2018-10-15T04:00:00Z;11.6
2018-10-15T05:00:00Z;11.5
2018-10-15T06:00:00Z;11.8
2018-10-15T07:00:00Z;12.3
2018-10-15T08:00:00Z;12.7
2018-10-15T09:00:00Z;13
2018-10-15T10:00:00Z;13.6
2018-10-15T11:00:00Z;13.7
2018-10-15T12:00:00Z;13.9
2018-10-15T13:00:00Z;14.7
2018-10-15T14:00:00Z;14.4
2018-10-15T15:00:00Z;14.4
2018-10-15T16:00:00Z;13.3
2018-10-15T17:00:00Z;12
2018-10-15T18:00:00Z;11.7
2018-10-15T19:00:00Z;11.8
2018-10-15T20:00:00Z;11.9
2018-10-15T21:00:00Z;11.8
2018-10-15T22:00:00Z;11.7
2018-10-15T23:00:00Z;11.7
2018-10-16T00:00:00Z;11.4
2018-10-16T01:00:00Z;11.8
2018-10-16T02:00:00Z;12
2018-10-16T03:00:00Z;11.6
2018-10-16T04:00:00Z;11.7
2018-10-16T05:00:00Z;11.4
2018-10-16T06:00:00Z;11.7
2018-10-16T07:00:00Z;12.4
2018-10-16T08:00:00Z;12.4
2018-10-16T09:00:00Z;12.6
2018-10-16T10:00:00Z;13.2
2018-10-16T11:00:00Z;14.4
2018-10-16T12:00:00Z;14.7
2018-10-16T13:00:00Z;14.4
2018-10-16T14:00:00Z;13.4
2018-10-16T15:00:00Z;12.5
2018-10-16T16:00:00Z;12.3
2018-10-16T17:00:00Z;11.4
2018-10-16T18:00:00Z;11.7
2018-10-16T19:00:00Z;11.7
2018-10-16T20:00:00Z;11.9
2018-10-16T21:00:00Z;11.8
2018-10-16T22:00:00Z;11.5
2018-10-16T23:00:00Z;11.3
2018-10-17T00:00:00Z;11.3
2018-10-17T01:00:00Z;11.2
2018-10-17T02:00:00Z;11.1
2018-10-17T03:00:00Z;11
2018-10-17T04:00:00Z;10.9
2018-10-17T05:00:00Z;10.4
2018-10-17T06:00:00Z;10.6
2018-10-17T07:00:00Z;10.6
2018-10-17T08:00:00Z;10.7
2018-10-17T09:00:00Z;11.1
2018-10-17T10:00:00Z;10.9
2018-10-17T11:00:00Z;10.3
2018-10-17T12:00:00Z;10.4
2018-10-17T13:00:00Z;10.4
2018-10-17T14:00:00Z;10.7
2018-10-17T15:00:00Z;10.7
2018-10-17T16:00:00Z;10
2018-10-17T17:00:00Z;11.8
2018-10-17T18:00:00Z;12.1
2018-10-17T19:00:00Z;12
2018-10-17T20:00:00Z;12.1
2018-10-17T21:00:00Z;11.6
2018-10-17T22:00:00Z;11.4
2018-10-17T23:00:00Z;11
2018-10-18T00:00:00Z;10.9
2018-10-18T01:00:00Z;10.9
2018-10-18T02:00:00Z;11.3
2018-10-18T03:00:00Z;11.6
2018-10-18T04:00:00Z;11.6
2018-10-18T05:00:00Z;11.5
2018-10-18T06:00:00Z;11.6
2018-10-18T07:00:00Z;11.6
2018-10-18T08:00:00Z;12.2
2018-10-18T09:00:00Z;13
2018-10-18T10:00:00Z;12.9
2018-10-18T11:00:00Z;12.9
2018-10-18T12:00:00Z;12.5
2018-10-18T13:00:00Z;12.2
2018-10-18T14:00:00Z;11.7
2018-10-18T15:00:00Z;11.8
2018-10-18T16:00:00Z;11.2
2018-10-18T17:00:00Z;10.9
2018-10-18T18:00:00Z;10.6
2018-10-18T19:00:00Z;8
2018-10-18T20:00:00Z;7
2018-10-18T21:00:00Z;6.9
2018-10-18T22:00:00Z;6
2018-10-18T23:00:00Z;6.6
2018-10-19T00:00:00Z;6.2
2018-10-19T01:00:00Z;6.1
2018-10-19T02:00:00Z;6.2
2018-10-19T03:00:00Z;6.1
2018-10-19T04:00:00Z;6
2018-10-19T05:00:00Z;6.3
2018-10-19T06:00:00Z;6.7
2018-10-19T07:00:00Z;6.8
2018-10-19T08:00:00Z;8.1
2018-10-19T09:00:00Z;9.4
2018-10-19T10:00:00Z;10.1
2018-10-19T11:00:00Z;10.7
2018-10-19T12:00:00Z;11
2018-10-19T13:00:00Z;11.5
2018-10-19T14:00:00Z;11
2018-10-19T15:00:00Z;10.1
2018-10-19T16:00:00Z;8.8
2018-10-19T17:00:00Z;8.4
2018-10-19T18:00:00Z;7.7
2018-10-19T19:00:00Z;6.4
2018-10-19T20:00:00Z;6.4
2018-10-19T21:00:00Z;6
2018-10-19T22:00:00Z;5.6
2018-10-19T23:00:00Z;4.2
2018-10-20T00:00:00Z;3.8
2018-10-20T01:00:00Z;3.7
2018-10-20T02:00:00Z;3.6
2018-10-20T03:00:00Z;3.3
2018-10-20T04:00:00Z;3.4
2018-10-20T05:00:00Z;3.2
2018-10-20T06:00:00Z;3.4
2018-10-20T07:00:00Z;5.1
2018-10-20T08:00:00Z;5.9
2018-10-20T09:00:00Z;7.4
2018-10-20T10:00:00Z;8.6
2018-10-20T11:00:00Z;9.8
2018-10-20T12:00:00Z;9.6
2018-10-20T13:00:00Z;9.4
2018-10-20T14:00:00Z;9.2
2018-10-20T15:00:00Z;8.9
2018-10-20T16:00:00Z;8.5
2018-10-20T17:00:00Z;8
2018-10-20T18:00:00Z;7.9
2018-10-20T19:00:00Z;7.2
2018-10-20T20:00:00Z;6
2018-10-20T21:00:00Z;5.9
2018-10-20T22:00:00Z;5.9
2018-10-20T23:00:00Z;5.8
2018-10-21T00:00:00Z;6.7
2018-10-21T01:00:00Z;6.6
2018-10-21T02:00:00Z;6.7
2018-10-21T03:00:00Z;6.9
2018-10-21T04:00:00Z;5.4
2018-10-21T05:00:00Z;4.4
2018-10-21T06:00:00Z;5.2
2018-10-21T07:00:00Z;8.6
2018-10-21T08:00:00Z;10.3
2018-10-21T09:00:00Z;10.9
2018-10-21T10:00:00Z;10.7
2018-10-21T11:00:00Z;10.3
2018-10-21T12:00:00Z;10.5
2018-10-21T13:00:00Z;11
2018-10-21T14:00:00Z;10.9
2018-10-21T15:00:00Z;10.9
2018-10-21T16:00:00Z;10.9
2018-10-21T17:00:00Z;10.9
2018-10-21T18:00:00Z;10.8
2018-10-21T19:00:00Z;10.8
2018-10-21T20:00:00Z;10.2
2018-10-21T21:00:00Z;10
2018-10-21T22:00:00Z;10.3
2018-10-21T23:00:00Z;10.7
2018-10-22T00:00:00Z;11.3
